Landtagswahl 2023; Wahldatum: 2023-10-08; Stand: 09.10.2023 02:49:03
Gebietsschlüssel;Gebietsbezeichnung;Gebietstyp;Wahlbezirksnummer;Wahllokal;Wahlberechtigte;Wahlberechtigte ohne Sperrvermerk;Wahlberechtigte mit Sperrvermerk;Wahlberechtigte nach §12a(2) LWO;Wählerinnen und Wähler;Wählerinnen und Wähler mit Wahlschein;Wahlbeteiligung;Berechnungsmethode;ungültige Wahlkreisstimmen;gültige Wahlkreisstimmen;ungültige Wahlkreisstimmen (%);gültige Wahlkreisstimmen (%);CDU Wahlkreisstimmen;GRÜNE Wahlkreisstimmen;SPD Wahlkreisstimmen;AfD Wahlkreisstimmen;FDP Wahlkreisstimmen;DIE LINKE Wahlkreisstimmen;FREIE WÄHLER Wahlkreisstimmen;Tierschutzpartei Wahlkreisstimmen;Die PARTEI Wahlkreisstimmen;PIRATEN Wahlkreisstimmen;ÖDP Wahlkreisstimmen;Verjüngungsforschung Wahlkreisstimmen;V-Partei³ Wahlkreisstimmen;PdH Wahlkreisstimmen;ABG Wahlkreisstimmen;APPD Wahlkreisstimmen;dieBasis Wahlkreisstimmen;DKP Wahlkreisstimmen;DIE NEUE MITTE Wahlkreisstimmen;Volt Wahlkreisstimmen;KLIMALISTE WÄHLERL. Wahlkreisstimmen;Bündnis C Wahlkreisstimmen;WDMR Wahlkreisstimmen;BUNDESPA. KLIMALISTE Wahlkreisstimmen;MERA25 Wahlkreisstimmen;NEV Wahlkreisstimmen;PP Wahlkreisstimmen;SGV Wahlkreisstimmen;Solibew Wahlkreisstimmen;CDU Wahlkreisstimmen (%);GRÜNE Wahlkreisstimmen (%);SPD Wahlkreisstimmen (%);AfD Wahlkreisstimmen (%);FDP Wahlkreisstimmen (%);DIE LINKE Wahlkreisstimmen (%);FREIE WÄHLER Wahlkreisstimmen (%);Tierschutzpartei Wahlkreisstimmen (%);Die PARTEI Wahlkreisstimmen (%);PIRATEN Wahlkreisstimmen (%);ÖDP Wahlkreisstimmen (%);Verjüngungsforschung Wahlkreisstimmen (%);V-Partei³ Wahlkreisstimmen (%);PdH Wahlkreisstimmen (%);ABG Wahlkreisstimmen (%);APPD Wahlkreisstimmen (%);dieBasis Wahlkreisstimmen (%);DKP Wahlkreisstimmen (%);DIE NEUE MITTE Wahlkreisstimmen (%);Volt Wahlkreisstimmen (%);KLIMALISTE WÄHLERL. Wahlkreisstimmen (%);Bündnis C Wahlkreisstimmen (%);WDMR Wahlkreisstimmen (%);BUNDESPA. KLIMALISTE Wahlkreisstimmen (%);MERA25 Wahlkreisstimmen (%);NEV Wahlkreisstimmen (%);PP Wahlkreisstimmen (%);SGV Wahlkreisstimmen (%);Solibew Wahlkreisstimmen (%);ungültige Landesstimmen;gültige Landesstimmen;ungültige Landesstimmen (%);gültige Landesstimmen (%);CDU Landesstimmen;GRÜNE Landesstimmen;SPD Landesstimmen;AfD Landesstimmen;FDP Landesstimmen;DIE LINKE Landesstimmen;FREIE WÄHLER Landesstimmen;Tierschutzpartei Landesstimmen;Die PARTEI Landesstimmen;PIRATEN Landesstimmen;ÖDP Landesstimmen;Verjüngungsforschung Landesstimmen;V-Partei³ Landesstimmen;PdH Landesstimmen;ABG Landesstimmen;APPD Landesstimmen;dieBasis Landesstimmen;DKP Landesstimmen;DIE NEUE MITTE Landesstimmen;Volt Landesstimmen;KLIMALISTE WÄHLERL. Landesstimmen;Bündnis C Landesstimmen;WDMR Landesstimmen;BUNDESPA. KLIMALISTE Landesstimmen;MERA25 Landesstimmen;NEV Landesstimmen;PP Landesstimmen;SGV Landesstimmen;Solibew Landesstimmen;CDU Landesstimmen (%);GRÜNE Landesstimmen (%);SPD Landesstimmen (%);AfD Landesstimmen (%);FDP Landesstimmen (%);DIE LINKE Landesstimmen (%);FREIE WÄHLER Landesstimmen (%);Tierschutzpartei Landesstimmen (%);Die PARTEI Landesstimmen (%);PIRATEN Landesstimmen (%);ÖDP Landesstimmen (%);Verjüngungsforschung Landesstimmen (%);V-Partei³ Landesstimmen (%);PdH Landesstimmen (%);ABG Landesstimmen (%);APPD Landesstimmen (%);dieBasis Landesstimmen (%);DKP Landesstimmen (%);DIE NEUE MITTE Landesstimmen (%);Volt Landesstimmen (%);KLIMALISTE WÄHLERL. Landesstimmen (%);Bündnis C Landesstimmen (%);WDMR Landesstimmen (%);BUNDESPA. KLIMALISTE Landesstimmen (%);MERA25 Landesstimmen (%);NEV Landesstimmen (%);PP Landesstimmen (%);SGV Landesstimmen (%);Solibew Landesstimmen (%);Wahlkreis gewonnen: Name;Wahlkreis gewonnen: Vorname;Wahlkreis gewonnen: Titel;Wahlkreis gewonnen: Wahlvorschlag;Anzahl Wahlbezirke;Anzahl Wahlbezirke ausgezählt;Letzte Änderung;freigegeben;Nummer aufnehmender Wahlbezirk;Name aufnehmender Wahlbezirk;Aufnahme Wahlbezirk
01000000000;"Rotenburg";"WK";;"";62193;47249;14944;0;43538;14129;70,0;2;1069;42469;2,5;97,5;15981;2232;9996;9427;1273;739;2821;;;;;;;;;;;;;;;;;;;;;;;37,6;5,3;23,5;22,2;3,0;1,7;6,6;;;;;;;;;;;;;;;;;;;;;;;992;42546;2,3;97,7;14624;2896;8761;10033;1478;766;2398;607;271;117;60;32;69;31;68;26;164;19;22;74;30;;;;;;;;;34,4;6,8;20,6;23,6;3,5;1,8;5,6;1,4;0,6;0,3;0,1;0,1;0,2;0,1;0,2;0,1;0,4;0,0;0,1;0,2;0,1;;;;;;;;;"Arnoldt";"Lena";"";"CDU";158;158;2023-10-08 21:46:42;1;;"";
01100000000;"Hersfeld";"WK";;"";62474;46020;16454;0;43610;15634;69,8;2;932;42678;2,1;97,9;14758;2894;8530;10010;2172;744;3570;;;;;;;;;;;;;;;;;;;;;;;34,6;6,8;20,0;23,5;5,1;1,7;8,4;;;;;;;;;;;;;;;;;;;;;;;830;42780;1,9;98,1;15214;3014;7207;10570;1811;681;2677;615;262;98;79;15;66;30;66;36;115;13;28;150;33;;;;;;;;;35,6;7,0;16,8;24,7;4,2;1,6;6,3;1,4;0,6;0,2;0,2;0,0;0,2;0,1;0,2;0,1;0,3;0,0;0,1;0,4;0,1;;;;;;;;;"Klee";"Stefanie";"";"CDU";157;157;2023-10-08 22:14:32;1;;"";
01200000000;"Marburg-Biedenkopf I";"WK";;"";89413;69111;20302;0;61818;19127;69,1;2;1125;60693;1,8;98,2;24013;5529;11935;12479;1643;1803;3291;;;;;;;;;;;;;;;;;;;;;;;39,6;9,1;19,7;20,6;2,7;3,0;5,4;;;;;;;;;;;;;;;;;;;;;;;882;60936;1,4;98,6;21941;6204;10443;13503;2085;1566;2489;907;412;154;123;28;165;82;106;68;298;28;17;180;137;;;;;;;;;36,0;10,2;17,1;22,2;3,4;2,6;4,1;1,5;0,7;0,3;0,2;0,0;0,3;0,1;0,2;0,1;0,5;0,0;0,0;0,3;0,2;;;;;;;;;"Künkel";"Marie-Sophie";"";"CDU";185;185;2023-10-08 21:59:11;1;;"";
01300000000;"Marburg-Biedenkopf II";"WK";;"";90389;69034;21314;41;59795;19789;66,2;2;837;58958;1,4;98,6;18486;10439;13236;8240;1910;4028;1531;;901;;;;;;;;;;;;;;187;;;;;;;31,4;17,7;22,4;14,0;3,2;6,8;2,6;;1,5;;;;;;;;;;;;;;0,3;;;;;;;849;58946;1,4;98,6;17766;11127;9842;9047;2290;4041;1474;753;550;181;175;35;177;121;50;97;252;73;33;394;468;;;;;;;;;30,1;18,9;16,7;15,3;3,9;6,9;2,5;1,3;0,9;0,3;0,3;0,1;0,3;0,2;0,1;0,2;0,4;0,1;0,1;0,7;0,8;;;;;;;;;"Bamberger";"Dirk";"";"CDU";163;163;2023-10-08 21:24:01;1;;"";
01400000000;"Fulda I";"WK";;"";70851;54771;16080;0;45605;14465;64,4;2;913;44692;2,0;98,0;20480;4711;4289;10017;1586;861;1650;;842;;;;;;118;;;;;;;138;;;;;;;;45,8;10,5;9,6;22,4;3,5;1,9;3,7;;1,9;;;;;;0,3;;;;;;;0,3;;;;;;;;918;44687;2,0;98,0;18946;4797;3622;10828;1861;879;1498;505;474;110;129;10;165;47;86;23;132;14;27;479;55;;;;;;;;;42,4;10,7;8,1;24,2;4,2;2,0;3,4;1,1;1,1;0,2;0,3;0,0;0,4;0,1;0,2;0,1;0,3;0,0;0,1;1,1;0,1;;;;;;;;;"Hering";"Thomas";"";"CDU";141;141;2023-10-08 23:28:27;1;;"";
01500000000;"Fulda II";"WK";;"";85304;62974;22330;0;62256;20320;73,0;2;1310;60946;2,1;97,9;29577;4585;6257;13564;2429;748;2579;;871;;;;;;203;;;;;;;133;;;;;;;;48,5;7,5;10,3;22,3;4,0;1,2;4,2;;1,4;;;;;;0,3;;;;;;;0,2;;;;;;;;1227;61029;2,0;98,0;28524;5065;4807;14539;2499;796;2321;634;528;118;164;22;172;35;165;24;190;23;37;302;64;;;;;;;;;46,7;8,3;7,9;23,8;4,1;1,3;3,8;1,0;0,9;0,2;0,3;0,0;0,3;0,1;0,3;0,0;0,3;0,0;0,1;0,5;0,1;;;;;;;;;"Müller";"Sebastian";"";"CDU";183;183;2023-10-08 23:58:19;1;;"";
01600000000;"Lahn-Dill I";"WK";;"";89412;72279;17133;0;57380;16072;64,2;2;1119;56261;2,0;98,0;22055;4375;8527;14779;2734;1293;2498;;;;;;;;;;;;;;;;;;;;;;;39,2;7,8;15,2;26,3;4,9;2,3;4,4;;;;;;;;;;;;;;;;;;;;;;;856;56524;1,5;98,5;21519;4694;7209;15196;2192;1016;1979;890;450;184;304;34;183;56;107;48;206;20;18;155;64;;;;;;;;;38,1;8,3;12,8;26,9;3,9;1,8;3,5;1,6;0,8;0,3;0,5;0,1;0,3;0,1;0,2;0,1;0,4;0,0;0,0;0,3;0,1;;;;;;;;;"Müller";"Jörg Michael";"";"CDU";141;141;2023-10-08 22:05:48;1;;"";
01700000000;"Lahn-Dill II";"WK";;"";93137;71308;21829;0;60423;20445;64,9;2;997;59426;1,7;98,3;20966;6333;10215;13673;2601;1585;2993;;1060;;;;;;;;;;;;;;;;;;;;;35,3;10,7;17,2;23,0;4,4;2,7;5,0;;1,8;;;;;;;;;;;;;;;;;;;;;860;59563;1,4;98,6;20672;6702;9086;13935;2434;1358;2390;950;637;193;112;37;178;74;94;31;271;49;24;229;107;;;;;;;;;34,7;11,3;15,3;23,4;4,1;2,3;4,0;1,6;1,1;0,3;0,2;0,1;0,3;0,1;0,2;0,1;0,5;0,1;0,0;0,4;0,2;;;;;;;;;"Steinraths";"Frank";"";"CDU";130;130;2023-10-08 22:12:26;1;;"";
01800000000;"Gießen I";"WK";;"";90521;65911;24610;0;59951;22817;66,2;2;986;58965;1,6;98,4;18857;10864;10711;8581;2332;3148;2431;;1663;;;;;;;;;192;;;;186;;;;;;;;32,0;18,4;18,2;14,6;4,0;5,3;4,1;;2,8;;;;;;;;;0,3;;;;0,3;;;;;;;;870;59081;1,5;98,5;17345;10916;8925;8969;2624;3192;2029;1171;892;205;293;47;361;194;85;68;262;141;25;1129;208;;;;;;;;;29,4;18,5;15,1;15,2;4,4;5,4;3,4;2,0;1,5;0,3;0,5;0,1;0,6;0,3;0,1;0,1;0,4;0,2;0,0;1,9;0,4;;;;;;;;;"Bouffier";"Frederik";"";"CDU";121;121;2023-10-08 21:46:04;1;;"";
01900000000;"Gießen II";"WK";;"";96095;71376;24719;0;67044;23347;69,8;2;1218;65826;1,8;98,2;24759;6159;12358;13217;2751;1564;4371;;;;;;;;;;486;;;;;161;;;;;;;;37,6;9,4;18,8;20,1;4,2;2,4;6,6;;;;;;;;;;0,7;;;;;0,2;;;;;;;;1041;66003;1,6;98,4;23891;7469;9791;13893;2759;1433;3216;1111;582;207;151;33;268;85;104;44;366;45;34;405;116;;;;;;;;;36,2;11,3;14,8;21,0;4,2;2,2;4,9;1,7;0,9;0,3;0,2;0,0;0,4;0,1;0,2;0,1;0,6;0,1;0,1;0,6;0,2;;;;;;;;;"Schmitz";"Lucas";"";"CDU";138;138;2023-10-08 23:22:58;1;;"";
