Landtagswahl 2023; Wahldatum: 2023-10-08; Stand: 09.10.2023 02:49:03
Gebietsschlüssel;Gebietsbezeichnung;Gebietstyp;Wahlbezirksnummer;Wahllokal;Wahlberechtigte;Wahlberechtigte ohne Sperrvermerk;Wahlberechtigte mit Sperrvermerk;Wahlberechtigte nach §12a(2) LWO;Wählerinnen und Wähler;Wählerinnen und Wähler mit Wahlschein;Wahlbeteiligung;Berechnungsmethode;ungültige Wahlkreisstimmen;gültige Wahlkreisstimmen;ungültige Wahlkreisstimmen (%);gültige Wahlkreisstimmen (%);CDU Wahlkreisstimmen;GRÜNE Wahlkreisstimmen;SPD Wahlkreisstimmen;AfD Wahlkreisstimmen;FDP Wahlkreisstimmen;DIE LINKE Wahlkreisstimmen;FREIE WÄHLER Wahlkreisstimmen;Tierschutzpartei Wahlkreisstimmen;Die PARTEI Wahlkreisstimmen;PIRATEN Wahlkreisstimmen;ÖDP Wahlkreisstimmen;Verjüngungsforschung Wahlkreisstimmen;V-Partei³ Wahlkreisstimmen;PdH Wahlkreisstimmen;ABG Wahlkreisstimmen;APPD Wahlkreisstimmen;dieBasis Wahlkreisstimmen;DKP Wahlkreisstimmen;DIE NEUE MITTE Wahlkreisstimmen;Volt Wahlkreisstimmen;KLIMALISTE WÄHLERL. Wahlkreisstimmen;Bündnis C Wahlkreisstimmen;WDMR Wahlkreisstimmen;BUNDESPA. KLIMALISTE Wahlkreisstimmen;MERA25 Wahlkreisstimmen;NEV Wahlkreisstimmen;PP Wahlkreisstimmen;SGV Wahlkreisstimmen;Solibew Wahlkreisstimmen;CDU Wahlkreisstimmen (%);GRÜNE Wahlkreisstimmen (%);SPD Wahlkreisstimmen (%);AfD Wahlkreisstimmen (%);FDP Wahlkreisstimmen (%);DIE LINKE Wahlkreisstimmen (%);FREIE WÄHLER Wahlkreisstimmen (%);Tierschutzpartei Wahlkreisstimmen (%);Die PARTEI Wahlkreisstimmen (%);PIRATEN Wahlkreisstimmen (%);ÖDP Wahlkreisstimmen (%);Verjüngungsforschung Wahlkreisstimmen (%);V-Partei³ Wahlkreisstimmen (%);PdH Wahlkreisstimmen (%);ABG Wahlkreisstimmen (%);APPD Wahlkreisstimmen (%);dieBasis Wahlkreisstimmen (%);DKP Wahlkreisstimmen (%);DIE NEUE MITTE Wahlkreisstimmen (%);Volt Wahlkreisstimmen (%);KLIMALISTE WÄHLERL. Wahlkreisstimmen (%);Bündnis C Wahlkreisstimmen (%);WDMR Wahlkreisstimmen (%);BUNDESPA. KLIMALISTE Wahlkreisstimmen (%);MERA25 Wahlkreisstimmen (%);NEV Wahlkreisstimmen (%);PP Wahlkreisstimmen (%);SGV Wahlkreisstimmen (%);Solibew Wahlkreisstimmen (%);ungültige Landesstimmen;gültige Landesstimmen;ungültige Landesstimmen (%);gültige Landesstimmen (%);CDU Landesstimmen;GRÜNE Landesstimmen;SPD Landesstimmen;AfD Landesstimmen;FDP Landesstimmen;DIE LINKE Landesstimmen;FREIE WÄHLER Landesstimmen;Tierschutzpartei Landesstimmen;Die PARTEI Landesstimmen;PIRATEN Landesstimmen;ÖDP Landesstimmen;Verjüngungsforschung Landesstimmen;V-Partei³ Landesstimmen;PdH Landesstimmen;ABG Landesstimmen;APPD Landesstimmen;dieBasis Landesstimmen;DKP Landesstimmen;DIE NEUE MITTE Landesstimmen;Volt Landesstimmen;KLIMALISTE WÄHLERL. Landesstimmen;Bündnis C Landesstimmen;WDMR Landesstimmen;BUNDESPA. KLIMALISTE Landesstimmen;MERA25 Landesstimmen;NEV Landesstimmen;PP Landesstimmen;SGV Landesstimmen;Solibew Landesstimmen;CDU Landesstimmen (%);GRÜNE Landesstimmen (%);SPD Landesstimmen (%);AfD Landesstimmen (%);FDP Landesstimmen (%);DIE LINKE Landesstimmen (%);FREIE WÄHLER Landesstimmen (%);Tierschutzpartei Landesstimmen (%);Die PARTEI Landesstimmen (%);PIRATEN Landesstimmen (%);ÖDP Landesstimmen (%);Verjüngungsforschung Landesstimmen (%);V-Partei³ Landesstimmen (%);PdH Landesstimmen (%);ABG Landesstimmen (%);APPD Landesstimmen (%);dieBasis Landesstimmen (%);DKP Landesstimmen (%);DIE NEUE MITTE Landesstimmen (%);Volt Landesstimmen (%);KLIMALISTE WÄHLERL. Landesstimmen (%);Bündnis C Landesstimmen (%);WDMR Landesstimmen (%);BUNDESPA. KLIMALISTE Landesstimmen (%);MERA25 Landesstimmen (%);NEV Landesstimmen (%);PP Landesstimmen (%);SGV Landesstimmen (%);Solibew Landesstimmen (%);Wahlkreis gewonnen: Name;Wahlkreis gewonnen: Vorname;Wahlkreis gewonnen: Titel;Wahlkreis gewonnen: Wahlvorschlag;Anzahl Wahlbezirke;Anzahl Wahlbezirke ausgezählt;Letzte Änderung;freigegeben;Nummer aufnehmender Wahlbezirk;Name aufnehmender Wahlbezirk;Aufnahme Wahlbezirk
00863400900;"Homberg (Efze), Reformationsstadt, Kreisstadt";"SB";00023;"Rodemann";102;77;25;0;50;0;;;1;49;2,0;98,0;23;5;9;8;3;0;1;;;;;;;;;;;;;;;;;;;;;;;46,9;10,2;18,4;16,3;6,1;0,0;2,0;;;;;;;;;;;;;;;;;;;;;;;1;49;2,0;98,0;20;7;5;10;4;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;40,8;14,3;10,2;20,4;8,2;0,0;4,1;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 18:20:31;1;;"";0
00863400900;"Homberg (Efze), Reformationsstadt, Kreisstadt";"SB";00024;"Roppershain";141;115;26;0;87;0;;;3;84;3,4;96,6;24;8;19;19;6;3;5;;;;;;;;;;;;;;;;;;;;;;;28,6;9,5;22,6;22,6;7,1;3,6;6,0;;;;;;;;;;;;;;;;;;;;;;;3;84;3,4;96,6;24;7;19;18;8;2;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;28,6;8,3;22,6;21,4;9,5;2,4;4,8;1,2;1,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 18:37:54;1;;"";0
00863400900;"Homberg (Efze), Reformationsstadt, Kreisstadt";"SB";00025;"Sondheim";207;171;36;0;112;0;;;5;107;4,5;95,5;37;6;26;29;2;0;7;;;;;;;;;;;;;;;;;;;;;;;34,6;5,6;24,3;27,1;1,9;0,0;6,5;;;;;;;;;;;;;;;;;;;;;;;4;108;3,6;96,4;38;6;18;30;3;2;7;3;0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;;;;;35,2;5,6;16,7;27,8;2,8;1,9;6,5;2,8;0,0;0,0;0,0;0,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 18:46:14;1;;"";0
00863400900;"Homberg (Efze), Reformationsstadt, Kreisstadt";"SB";00027;"Waßmuthshausen";141;114;27;0;94;0;;;3;91;3,2;96,8;28;4;26;17;5;0;11;;;;;;;;;;;;;;;;;;;;;;;30,8;4,4;28,6;18,7;5,5;0,0;12,1;;;;;;;;;;;;;;;;;;;;;;;3;91;3,2;96,8;30;5;23;19;4;0;9;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;;;;;;;33,0;5,5;25,3;20,9;4,4;0,0;9,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,1;0,0;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 18:42:54;1;;"";0
00863400900;"Homberg (Efze), Reformationsstadt, Kreisstadt";"SB";00028;"Welferode";292;241;51;0;167;0;;;7;160;4,2;95,8;55;18;23;38;8;4;14;;;;;;;;;;;;;;;;;;;;;;;34,4;11,3;14,4;23,8;5,0;2,5;8,8;;;;;;;;;;;;;;;;;;;;;;;6;161;3,6;96,4;49;27;14;37;9;3;18;2;1;0;0;1;0;0;0;0;0;0;0;0;0;;;;;;;;;30,4;16,8;8,7;23,0;5,6;1,9;11,2;1,2;0,6;0,0;0,0;0,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 18:56:32;1;;"";0
00863400900;"Homberg (Efze), Reformationsstadt, Kreisstadt";"SB";00029;"Wernswig";738;552;186;0;349;0;;;17;332;4,9;95,1;103;13;82;86;14;6;28;;;;;;;;;;;;;;;;;;;;;;;31,0;3,9;24,7;25,9;4,2;1,8;8,4;;;;;;;;;;;;;;;;;;;;;;;9;340;2,6;97,4;101;21;66;88;13;2;26;8;5;0;0;0;0;0;4;1;3;0;0;0;2;;;;;;;;;29,7;6,2;19,4;25,9;3,8;0,6;7,6;2,4;1,5;0,0;0,0;0,0;0,0;0,0;1,2;0,3;0,9;0,0;0,0;0,0;0,6;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:07:36;1;;"";0
00863400900;"Homberg (Efze), Reformationsstadt, Kreisstadt";"SB";90030;"Briefwahl I";0;0;0;0;695;695;;;17;678;2,4;97,6;233;57;175;104;52;21;36;;;;;;;;;;;;;;;;;;;;;;;34,4;8,4;25,8;15,3;7,7;3,1;5,3;;;;;;;;;;;;;;;;;;;;;;;10;685;1,4;98,6;264;76;126;106;42;16;27;13;2;3;1;1;0;1;2;1;2;0;0;1;1;;;;;;;;;38,5;11,1;18,4;15,5;6,1;2,3;3,9;1,9;0,3;0,4;0,1;0,1;0,0;0,1;0,3;0,1;0,3;0,0;0,0;0,1;0,1;;;;;;;;;"";"";"";"";1;1;2023-10-08 20:25:12;1;;"";0
00863400900;"Homberg (Efze), Reformationsstadt, Kreisstadt";"SB";90031;"Briefwahl II";0;0;0;0;688;688;;;33;655;4,8;95,2;193;74;152;138;45;17;36;;;;;;;;;;;;;;;;;;;;;;;29,5;11,3;23,2;21,1;6,9;2,6;5,5;;;;;;;;;;;;;;;;;;;;;;;31;657;4,5;95,5;220;72;120;140;32;14;21;21;5;2;1;0;1;0;1;1;5;1;0;0;0;;;;;;;;;33,5;11,0;18,3;21,3;4,9;2,1;3,2;3,2;0,8;0,3;0,2;0,0;0,2;0,0;0,2;0,2;0,8;0,2;0,0;0,0;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 20:23:45;1;;"";0
00863400900;"Homberg (Efze), Reformationsstadt, Kreisstadt";"SB";90032;"Briefwahl III ";0;0;0;0;715;715;;;14;701;2,0;98,0;210;59;178;138;48;20;48;;;;;;;;;;;;;;;;;;;;;;;30,0;8,4;25,4;19,7;6,8;2,9;6,8;;;;;;;;;;;;;;;;;;;;;;;13;702;1,8;98,2;223;59;162;139;32;15;40;19;3;1;1;0;1;1;1;1;2;0;0;1;1;;;;;;;;;31,8;8,4;23,1;19,8;4,6;2,1;5,7;2,7;0,4;0,1;0,1;0,0;0,1;0,1;0,1;0,1;0,3;0,0;0,0;0,1;0,1;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:56:34;1;;"";0
00863401000;"Jesberg";"SB";00001;"Jesberg";963;671;292;0;403;0;;;10;393;2,5;97,5;110;39;93;95;24;14;18;;;;;;;;;;;;;;;;;;;;;;;28,0;9,9;23,7;24,2;6,1;3,6;4,6;;;;;;;;;;;;;;;;;;;;;;;12;391;3,0;97,0;108;43;75;100;21;9;16;6;6;2;0;0;0;0;0;1;2;0;0;0;2;;;;;;;;;27,6;11,0;19,2;25,6;5,4;2,3;4,1;1,5;1,5;0,5;0,0;0,0;0,0;0,0;0,0;0,3;0,5;0,0;0,0;0,0;0,5;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:18:32;1;;"";0
00863401000;"Jesberg";"SB";00010;"Reptich";117;93;24;0;68;0;;;1;67;1,5;98,5;20;3;26;13;2;0;3;;;;;;;;;;;;;;;;;;;;;;;29,9;4,5;38,8;19,4;3,0;0,0;4,5;;;;;;;;;;;;;;;;;;;;;;;0;68;0,0;100,0;24;2;19;14;0;1;4;0;1;1;0;0;0;0;0;0;1;0;0;1;0;;;;;;;;;35,3;2,9;27,9;20,6;0,0;1,5;5,9;0,0;1,5;1,5;0,0;0,0;0,0;0,0;0,0;0,0;1,5;0,0;0,0;1,5;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 18:39:31;1;;"";0
00863401000;"Jesberg";"SB";00020;"Elnrode/Strang";225;175;50;0;137;0;;;8;129;5,8;94,2;51;3;35;25;6;1;8;;;;;;;;;;;;;;;;;;;;;;;39,5;2,3;27,1;19,4;4,7;0,8;6,2;;;;;;;;;;;;;;;;;;;;;;;6;131;4,4;95,6;50;7;33;31;1;0;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;38,2;5,3;25,2;23,7;0,8;0,0;5,3;1,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 18:48:20;1;;"";0
00863401000;"Jesberg";"SB";00030;"Densberg";328;252;76;0;178;0;;;3;175;1,7;98,3;48;25;49;36;6;3;8;;;;;;;;;;;;;;;;;;;;;;;27,4;14,3;28,0;20,6;3,4;1,7;4,6;;;;;;;;;;;;;;;;;;;;;;;2;176;1,1;98,9;47;21;45;40;5;0;8;6;2;0;0;0;0;1;1;0;0;0;0;0;0;;;;;;;;;26,7;11,9;25,6;22,7;2,8;0,0;4,5;3,4;1,1;0,0;0,0;0,0;0,0;0,6;0,6;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:06:07;1;;"";0
00863401000;"Jesberg";"SB";00040;"Hundshausen";177;151;26;0;101;0;;;3;98;3,0;97,0;48;9;10;17;5;5;4;;;;;;;;;;;;;;;;;;;;;;;49,0;9,2;10,2;17,3;5,1;5,1;4,1;;;;;;;;;;;;;;;;;;;;;;;1;100;1,0;99,0;49;8;7;21;3;5;4;0;3;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;49,0;8,0;7,0;21,0;3,0;5,0;4,0;0,0;3,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 18:56:10;1;;"";0
00863401000;"Jesberg";"SB";99100;"Briefwahlbezirk";0;0;0;0;451;451;;;5;446;1,1;98,9;129;51;127;76;28;15;20;;;;;;;;;;;;;;;;;;;;;;;28,9;11,4;28,5;17,0;6,3;3,4;4,5;;;;;;;;;;;;;;;;;;;;;;;5;446;1,1;98,9;143;47;114;82;21;7;12;9;4;0;0;0;1;0;1;1;4;0;0;0;0;;;;;;;;;32,1;10,5;25,6;18,4;4,7;1,6;2,7;2,0;0,9;0,0;0,0;0,0;0,2;0,0;0,2;0,2;0,9;0,0;0,0;0,0;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:49:46;1;;"";0
00863401100;"Knüllwald";"SB";00001;"Appenfeld";167;129;38;0;93;0;;;3;90;3,2;96,8;30;4;20;26;5;0;5;;;;;;;;;;;;;;;;;;;;;;;33,3;4,4;22,2;28,9;5,6;0,0;5,6;;;;;;;;;;;;;;;;;;;;;;;6;87;6,5;93,5;27;6;15;28;4;0;5;0;0;0;0;0;0;0;0;0;1;0;0;1;0;;;;;;;;;31,0;6,9;17,2;32,2;4,6;0,0;5,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,1;0,0;0,0;1,1;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 18:52:22;1;;"";1
00863401100;"Knüllwald";"SB";00002;"Berndshausen";167;131;36;0;104;0;;;10;94;9,6;90,4;31;10;31;18;3;0;1;;;;;;;;;;;;;;;;;;;;;;;33,0;10,6;33,0;19,1;3,2;0,0;1,1;;;;;;;;;;;;;;;;;;;;;;;9;95;8,7;91,3;42;8;22;15;3;0;2;1;0;0;0;0;0;0;0;1;0;1;0;0;0;;;;;;;;;44,2;8,4;23,2;15,8;3,2;0,0;2,1;1,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,1;0,0;1,1;0,0;0,0;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 18:46:32;1;;"";0
00863401100;"Knüllwald";"SB";00003;"Ellingshausen";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";"";"";"";0;0;;1;00007;"Nausis";2
00863401100;"Knüllwald";"SB";00004;"Hausen";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";"";"";"";0;0;;1;00013;"Rengshausen";2
00863401100;"Knüllwald";"SB";00005;"Hergetsfeld";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";"";"";"";0;0;;1;00001;"Appenfeld";2
00863401100;"Knüllwald";"SB";00006;"Lichtenhagen";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";"";"";"";0;0;;1;00010;"Oberbeisheim";2
00863401100;"Knüllwald";"SB";00007;"Nausis";192;129;63;0;98;0;;;8;90;8,2;91,8;31;2;23;23;8;2;1;;;;;;;;;;;;;;;;;;;;;;;34,4;2,2;25,6;25,6;8,9;2,2;1,1;;;;;;;;;;;;;;;;;;;;;;;7;91;7,1;92,9;28;3;22;24;9;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;30,8;3,3;24,2;26,4;9,9;2,2;1,1;2,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:17:53;1;;"";1
00863401100;"Knüllwald";"SB";00008;"Nenterode";116;93;23;0;77;0;;;5;72;6,5;93,5;24;6;9;18;11;2;2;;;;;;;;;;;;;;;;;;;;;;;33,3;8,3;12,5;25,0;15,3;2,8;2,8;;;;;;;;;;;;;;;;;;;;;;;2;75;2,6;97,4;29;6;7;17;8;1;2;3;1;0;0;0;1;0;0;0;0;0;0;0;0;;;;;;;;;38,7;8,0;9,3;22,7;10,7;1,3;2,7;4,0;1,3;0,0;0,0;0,0;1,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:09:39;1;;"";0
00863401100;"Knüllwald";"SB";00009;"Niederbeisheim";636;429;207;0;298;0;;;12;286;4,0;96,0;81;20;87;57;23;5;13;;;;;;;;;;;;;;;;;;;;;;;28,3;7,0;30,4;19,9;8,0;1,7;4,5;;;;;;;;;;;;;;;;;;;;;;;14;284;4,7;95,3;95;27;64;59;17;5;8;3;3;2;0;0;0;0;0;0;0;0;1;0;0;;;;;;;;;33,5;9,5;22,5;20,8;6,0;1,8;2,8;1,1;1,1;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,4;0,0;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:46:08;1;;"";0
00863401100;"Knüllwald";"SB";00010;"Oberbeisheim";412;312;100;0;217;0;;;6;211;2,8;97,2;75;14;59;45;12;2;4;;;;;;;;;;;;;;;;;;;;;;;35,5;6,6;28,0;21,3;5,7;0,9;1,9;;;;;;;;;;;;;;;;;;;;;;;7;210;3,2;96,8;67;18;49;45;12;3;9;3;1;0;0;0;0;0;1;0;0;0;0;2;0;;;;;;;;;31,9;8,6;23,3;21,4;5,7;1,4;4,3;1,4;0,5;0,0;0,0;0,0;0,0;0,0;0,5;0,0;0,0;0,0;0,0;1,0;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:15:16;1;;"";1
00863401100;"Knüllwald";"SB";00011;"Reddingshausen";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";"";"";"";0;0;;1;00012;"Remsfeld";2
00863401100;"Knüllwald";"SB";00012;"Remsfeld";884;658;226;0;475;0;;;21;454;4,4;95,6;124;19;119;133;16;15;28;;;;;;;;;;;;;;;;;;;;;;;27,3;4,2;26,2;29,3;3,5;3,3;6,2;;;;;;;;;;;;;;;;;;;;;;;20;455;4,2;95,8;124;20;97;149;12;9;19;11;5;2;1;0;2;1;1;0;0;0;0;0;2;;;;;;;;;27,3;4,4;21,3;32,7;2,6;2,0;4,2;2,4;1,1;0,4;0,2;0,0;0,4;0,2;0,2;0,0;0,0;0,0;0,0;0,0;0,4;;;;;;;;;"";"";"";"";1;1;2023-10-08 20:56:18;1;;"";1
00863401100;"Knüllwald";"SB";00013;"Rengshausen";450;322;128;0;235;0;;;10;225;4,3;95,7;79;11;43;67;9;7;9;;;;;;;;;;;;;;;;;;;;;;;35,1;4,9;19,1;29,8;4,0;3,1;4,0;;;;;;;;;;;;;;;;;;;;;;;7;228;3,0;97,0;80;13;38;72;7;6;7;3;0;0;1;0;0;0;0;0;0;1;0;0;0;;;;;;;;;35,1;5,7;16,7;31,6;3,1;2,6;3,1;1,3;0,0;0,0;0,4;0,0;0,0;0,0;0,0;0,0;0,0;0,4;0,0;0,0;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 20:18:27;1;;"";1
00863401100;"Knüllwald";"SB";00014;"Schellbach";183;169;14;0;130;0;;;4;126;3,1;96,9;38;5;17;39;15;1;11;;;;;;;;;;;;;;;;;;;;;;;30,2;4,0;13,5;31,0;11,9;0,8;8,7;;;;;;;;;;;;;;;;;;;;;;;7;123;5,4;94,6;42;4;13;38;13;2;4;1;4;0;0;0;1;1;0;0;0;0;0;0;0;;;;;;;;;34,1;3,3;10,6;30,9;10,6;1,6;3,3;0,8;3,3;0,0;0,0;0,0;0,8;0,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 18:54:59;1;;"";0
00863401100;"Knüllwald";"SB";00015;"Völkershain";102;74;28;0;55;28;;;1;54;1,8;98,2;14;1;16;15;2;2;4;;;;;;;;;;;;;;;;;;;;;;;25,9;1,9;29,6;27,8;3,7;3,7;7,4;;;;;;;;;;;;;;;;;;;;;;;2;53;3,6;96,4;14;2;13;16;2;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;26,4;3,8;24,5;30,2;3,8;3,8;5,7;1,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 18:56:51;1;;"";0
00863401100;"Knüllwald";"SB";00016;"Wallenstein";173;124;49;0;87;0;;;2;85;2,3;97,7;33;6;19;20;6;1;0;;;;;;;;;;;;;;;;;;;;;;;38,8;7,1;22,4;23,5;7,1;1,2;0,0;;;;;;;;;;;;;;;;;;;;;;;4;83;4,6;95,4;23;9;13;25;4;2;3;3;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;27,7;10,8;15,7;30,1;4,8;2,4;3,6;3,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,2;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:03:30;1;;"";0
00863401100;"Knüllwald";"SB";99100;"Briefwahl";0;0;0;0;848;848;;;30;818;3,5;96,5;252;49;205;176;64;24;48;;;;;;;;;;;;;;;;;;;;;;;30,8;6,0;25,1;21,5;7,8;2,9;5,9;;;;;;;;;;;;;;;;;;;;;;;25;823;2,9;97,1;294;52;164;186;44;19;33;18;5;3;2;0;1;0;0;0;0;0;1;1;0;;;;;;;;;35,7;6,3;19,9;22,6;5,3;2,3;4,0;2,2;0,6;0,4;0,2;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,1;0,1;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 22:27:30;1;;"";0
00863401600;"Neuental";"SB";00100;"Zimmersrode";923;605;318;0;385;0;;;12;373;3,1;96,9;108;27;98;97;14;7;22;;;;;;;;;;;;;;;;;;;;;;;29,0;7,2;26,3;26,0;3,8;1,9;5,9;;;;;;;;;;;;;;;;;;;;;;;18;367;4,7;95,3;106;26;92;95;14;7;15;8;1;1;0;0;2;0;0;0;0;0;0;0;0;;;;;;;;;28,9;7,1;25,1;25,9;3,8;1,9;4,1;2,2;0,3;0,3;0,0;0,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:12:39;1;;"";0
00863401600;"Neuental";"SB";00102;"Bischhausen";254;206;48;0;162;0;;;6;156;3,7;96,3;42;9;50;33;16;3;3;;;;;;;;;;;;;;;;;;;;;;;26,9;5,8;32,1;21,2;10,3;1,9;1,9;;;;;;;;;;;;;;;;;;;;;;;9;153;5,6;94,4;39;10;43;35;16;4;3;0;0;1;0;0;0;0;0;0;2;0;0;0;0;;;;;;;;;25,5;6,5;28,1;22,9;10,5;2,6;2,0;0,0;0,0;0,7;0,0;0,0;0,0;0,0;0,0;0,0;1,3;0,0;0,0;0,0;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:11:09;1;;"";0
00863401600;"Neuental";"SB";00103;"Dorheim";93;75;18;0;58;0;;;0;58;0,0;100,0;27;4;7;11;4;0;5;;;;;;;;;;;;;;;;;;;;;;;46,6;6,9;12,1;19,0;6,9;0,0;8,6;;;;;;;;;;;;;;;;;;;;;;;3;55;5,2;94,8;23;1;6;13;3;0;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;;;;;;;;;41,8;1,8;10,9;23,6;5,5;0,0;12,7;0,0;0,0;0,0;0,0;1,8;1,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 18:26:05;1;;"";0
00863401600;"Neuental";"SB";00104;"Gilsa";249;182;67;0;138;0;;;3;135;2,2;97,8;42;12;49;17;4;3;8;;;;;;;;;;;;;;;;;;;;;;;31,1;8,9;36,3;12,6;3,0;2,2;5,9;;;;;;;;;;;;;;;;;;;;;;;1;137;0,7;99,3;44;16;43;18;2;2;7;1;1;1;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;32,1;11,7;31,4;13,1;1,5;1,5;5,1;0,7;0,7;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,5;;;;;;;;;"";"";"";"";1;1;2023-10-08 18:43:09;1;;"";0
00863401600;"Neuental";"SB";00105;"Neuenhain";213;156;57;0;105;0;;;7;98;6,7;93,3;26;7;23;34;2;1;5;;;;;;;;;;;;;;;;;;;;;;;26,5;7,1;23,5;34,7;2,0;1,0;5,1;;;;;;;;;;;;;;;;;;;;;;;3;102;2,9;97,1;28;5;22;38;4;1;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;;27,5;4,9;21,6;37,3;3,9;1,0;2,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:00:35;1;;"";0
